"title","location","publishedAt","companyName","description","applicationsCount","contractType","experienceLevel","workType","sector"
"Business Analyst / Project Lead","United States","2024-09-04","Brooksource","Business Analyst/Project Lead

Summary



 * Location: Remote w/ some travel
 * Description: A problem-solver who bridges the gap between the business requirements and technical solutions & A project manager, able to lead a small team to deliver successful projects on time, within budget, and to specification.
 * Top 3 Skills:
 * Labelling solutions experience (Preferably Loftware / Loftware Smartflow / Loftware Spectrum)
 * BA/Project Lead experience in a regulated environment (preferably health related)
 * MedTech experience is a plus



Responsibilities:

Business Analyst

 * Understand Our Business: Understand Business requirements related to Label and Artwork Management via stakeholder engagement. Understand today’s Business Processes related to Label and Artwork management, how things are done, what challenges exist, and the future goals of the organization.
 * Continuous improvement: Use research and analytical skills to identify areas for improvement and propose solutions.
 * Communication: Translate complex business needs into clear technical requirements.



Project Management

 * Project Planning: Agree project scope, set goals and objectives, and establish a clear plan for delivery.
 * Agile execution: Execute AGILE process to deliver enhancements in accordance with organizational priorities.
 * Resource Management: Manage Business Analysts/Developers to deliver agreed priorities. Ensure resources are used effectively and efficiently throughout the project lifecycle.
 * Communication: Communicate release and change management to stakeholders, ensuring everyone is aligned and expectations are managed.



Validation

Execute required Validation of changes in accordance with Global Test Management, including but not limited to:

 * Requirements/User Stories/Acceptance criteria: Collaborate with stakeholders to define/refine/maintain user requirements, associated user stories and acceptance criteria including associated maintenance in JIRA/Qtest.
 * Test Management: Collaborate with stakeholders to define/refine/maintain Test scenarios including associated maintenance in Qtest.
 * Test Execution: Execution of Testing in Qtest.
 * Validation documentation: Writing and Publishing associated Validation Plans and Reports.



Your Skills and Experience:



Business Analyst:

 * Analytical Thinking: Able to analyse and interpret complex data, identify patterns, and make informed decisions based on data-driven insights.
 * Communication: Strong verbal and written communication skills to effectively convey project requirements, goals, and progress to various stakeholders, including team members, clients, and senior management. Able to explain complex concepts concisely, bridging the gap between technical and non-technical audiences.
 * Problem-Solving: Able to identify problems, propose innovative solutions, and facilitate problem-solving sessions to address business challenges and ensure project success.
 * Technical knowledge: Familiarity with relevant technologies, software, and systems to assess and recommend appropriate solutions that align with business objectives.
 * Business acumen: Understanding of business processes, industry trends, and market dynamics to identify opportunities, challenges, and potential risks.



Project Management:

 * Project management: Proficiency in project management methodologies, tools, and techniques to plan, execute, monitor, and control projects, including defining scope, setting timelines, managing resources, and mitigating risks.
 * Collaboration and leadership: Strong interpersonal skills to effectively collaborate with cross-functional teams, foster teamwork, resolve conflicts, and motivate team members to meet project goals.
 * Adaptability: Flexibility to adapt to changing project requirements, priorities, and timelines, as well as the ability to quickly learn and apply new concepts and technologies.
 * Stakeholder management: Proficient in managing and influencing stakeholders at various levels, including clients, business leaders, project sponsors, and team members, to ensure project success and alignment with business goals.
 * Time management: Strong organizational skills to prioritize tasks, meet deadlines, and effectively manage multiple projects simultaneously.
 * Problem-Solving & Decision-Making: Adept at problem-solving, analysing situations, and making quick decisions to keep the project moving forward.
 * Leadership: A strong work ethic, able to delegate effectively, and foster a collaborative environment where everyone feels valued and contributes their best.

","Over 200 applicants","Full-time","Mid-Senior level","Information Technology","Medical Equipment Manufacturing"
"Senior Business Analyst","Austin, TX","2024-08-20","Augment Jobs","Job Title: Senior Business Analyst

Job Overview

We are seeking a highly skilled and experienced Senior Business Analyst to join our team. In this role, you will work closely with stakeholders to analyze business needs, identify opportunities for improvement, and drive strategic initiatives. You will play a key role in bridging the gap between business objectives and technical solutions.

Responsibilities


 * Conduct thorough business analysis to identify needs, goals, and challenges.
 * Develop detailed business requirements and functional specifications.
 * Collaborate with cross-functional teams to design and implement effective solutions.
 * Lead and facilitate workshops and meetings with stakeholders.
 * Monitor project progress and ensure alignment with business objectives.
 * Analyze data and generate reports to support decision-making.
 * Provide guidance and mentorship to junior analysts.
   
   

Qualifications


 * Bachelor’s degree in Business Administration, Finance, or related field.
 * 5+ years of experience in business analysis or a related role.
 * Strong analytical and problem-solving skills.
 * Excellent communication and interpersonal abilities.
 * Proficiency in data analysis and business intelligence tools.
 * Experience with Agile methodologies is a plus.
 * Ability to work independently and manage multiple projects.","67 applicants","Full-time","Associate","Research, Analyst, and Information Technology","Financial Services, Transportation, Logistics, Supply Chain and Storage, and Market Research"
"Senior Business Analyst","Austin, TX","2024-08-13","Augment Jobs","Job Title: Senior Business Analyst

Job Summary: The Senior Business Analyst is responsible for leading the analysis of business processes, identifying areas for improvement, and supporting the development and implementation of solutions that drive business efficiency and growth. This role involves working closely with stakeholders to understand their needs, translating those into actionable requirements, and ensuring successful project delivery. The Senior Business Analyst plays a critical role in aligning business goals with technology solutions and improving overall organizational performance.

Responsibilities


 * Conduct in-depth analysis of business processes, workflows, and systems to identify opportunities for improvement.
 * Gather, document, and prioritize business requirements, ensuring they align with organizational objectives.
 * Collaborate with stakeholders to develop solutions that meet business needs and drive efficiency.
 * Lead the development of business cases, feasibility studies, and cost-benefit analyses to support decision-making.
 * Translate business requirements into functional specifications for IT and development teams.
 * Facilitate meetings and workshops with stakeholders to ensure clear communication and alignment on project goals.
 * Monitor project progress, ensuring that deliverables meet the required standards and timelines.
 * Provide insights and recommendations based on data analysis to support strategic planning and decision-making.
 * Mentor junior analysts and contribute to the continuous improvement of business analysis methodologies.
   
   

Qualifications


 * Bachelor’s degree in Business Administration, Finance, Information Systems, or a related field.
 * Minimum of 5-7 years of experience in business analysis, process improvement, or a related role.
 * Strong understanding of business processes, systems analysis, and project management methodologies.
 * Proven experience in gathering and documenting business requirements and translating them into actionable plans.
 * Excellent problem-solving skills and the ability to think strategically.
 * Proficiency in business analysis tools and techniques, such as SWOT analysis, BPMN, or UML.
 * Strong communication and interpersonal skills, with the ability to work effectively with stakeholders at all levels.
 * Experience with Agile, Scrum, or other project management methodologies is a plus.
 * Professional certification such as CBAP (Certified Business Analysis Professional) is preferred.","66 applicants","Full-time","Associate","Research, Analyst, and Information Technology","Financial Services, IT Services and IT Consulting, and Business Consulting and Services"
"Business Analyst","Austin, Texas Metropolitan Area","2024-09-03","System Soft Technologies","Title: Business Analyst

Location: Austin, Texas (Remote)

Rate: $70.00/HR

Contract 12 Months+




Required

 * 8 Years

Deep knowledge and experience developing data analysis programs in SAS Viya




 * 8 Years

At least 5 years - business process visualizations, process improvement, and business system analysis.","Over 200 applicants","Full-time","Mid-Senior level","Information Technology","IT Services and IT Consulting"
"Senior Business Analyst","Jersey City, NJ","2024-08-14","Artmac","Who We Are

Artmac Soft is a technology consulting and service-oriented IT company dedicated to providing innovative technology solutions and services to Customers.

Job Description

Job Title : Senior Business Analyst

Job Type : W2

Experience : 5-20 Years

Location : Jersey City, New Jersey

Responsibilities


 * 6-8 years of BA experience (both as a traditional BA and a PO in an Agile environment.
 * At least 5 years of Project Experience in Risk Management is mandatory.
 * Strong domain knowledge in the area of GRC, especially Enterprise Risk Management (ERM) and financial risk – Credit, Market, Interest, Currency, and Liquidity. This is the most critical requirement, as the BA will be heavily challenged without this knowledge during the requirement-gathering phase.
 * Strong client interfacing skills. As a part of the GFT project, the BA needs to interact regularly with multiple senior stakeholders across LoBs.
 * Understanding and project experience in US regulatory projects (e.g. SEC, Fed, OCC) would be highly desirable, as the GFT project is completely regulatory in nature and is being executed as a result of the Consent Order issued by the OCC.
   
   

Qualification


 * Bachelor's degree or equivalent combination of education and experience.","28 applicants","Full-time","Associate","Research, Analyst, and Information Technology","Software Development"
"Business Analyst","Raleigh, NC","2024-08-27","Calculated Hire","Business Analyst Professional II

Hybrid - Raleigh, NC

Shift: Monday - Friday 8:00AM - 4:30PM

10-Month Contract (W2), Weekly Pay (40 hours/week)

Desired Start Date: 9/9/2024




Calculated Hire is in search of a Business Analyst Professional II for our Utility Company partner. You will be responsible for the following:




Description:

Primarily support the PGO-Carolinas East, Region Services, Transmission project management or Transmission development and estimating organizations with all project throughput tasks including but not limited to communicating, tracking, organizing, forecasting, project metric reporting, trend analysis and variance reporting.

• Provide day-to-day operational and tactical support to the Transmission Project Management or Development and Estimating organizations. Analyze and report out on capital and O&M project/program data to aid in the implementation of a multi-year project and program portfolio

• Provide project/program related (financial, etc.) metric analysis support to enhance decision making efforts that drive the most effective execution of a base load project portfolio

• Collect and scrub project/program related data for submission to Leadership for approvals

• Provide project/program support such as creation of project change requests, gate approval documentation, documents for updating, tracking and reporting of department KPIs and QBR metrics




Required Skills:

Microsoft Power Automate, Power Bi, and SharePoint experience.




Education Requirements:

Bachelor's Degree","Over 200 applicants","Contract","Associate","Analyst","Utilities"
"Business Analyst","Miami, FL","2023-07-14","Induci Inc","Responsibilities


 * Determine operational objectives by studying business functions; gathering information; evaluating output requirements and formats
 * Construct workflow charts and diagrams; studying system capabilities; writing specifications
 * Improve systems by studying current practices; designing modifications
 * Recommend controls by identifying problems; writing improved procedures
 * Define project requirements by identifying project milestones, phases and elements; forming project team; establishing project budget
 * Monitor project progress by tracking activity; resolving problems; publishing progress reports; recommending actions
   
   

Requirements


 * Bachelor's Degree in appropriate field of study or equivalent work experience
 * Microsoft Access and/or SQL experience strongly preferred
 * Ability to impact operations and effect change without being confrontational
 * Detail oriented, analytical and inquisitive
 * Ability to work independently and with others
 * Extremely organized with strong time-management skills
   
   

Business Analyst Top Skills & Proficiencies


 * Software Design
 * Analysis
 * Teamwork
 * Software Maintenance
 * Process Improvement
 * Microsoft Access and/or SQL experience
 * Big Picture Thinking
 * Work Well Under Pressure
 * Communication
 * Problem Solving
 * Critical Thinking
 * Relationship Building","Be among the first 25 applicants","Full-time","Associate","Management, Finance, and Accounting/Auditing","Accounting, Business Consulting and Services, and Non-profit Organizations"
"Business Analyst ( Travel Services )","New York, NY","2024-05-17","Conch Technologies, Inc","Hi,

Greetings from Conch Technologies Inc

Position: Technical Business Analyst ( Travel Domain exp is must have )

Location: New York City, NY

Duration: 12+ Months Contract

Qualifications/skills

Bachelor’s degree in Business Administration, Computer Science, Information Systems, or related field. Master’s degree preferred.

Minimum of 5 years of experience as a Business Analyst, with at least 2 years specifically within the travel domain.

Proven experience in gathering and documenting business requirements, conducting gap analysis, and designing solutions within the travel industry.

Strong understanding of travel industry processes, systems, and technologies, including but not limited to airline reservation systems, hotel management systems, and travel booking platforms.

Excellent analytical, problem-solving, and critical thinking skills with a keen attention to detail.

Proficiency in business analysis tools and methodologies such as Agile, Scrum, User Stories, Use Cases, and Business Process Modeling.

Exceptional communication, presentation, and interpersonal skills with the ability to effectively engage with stakeholders at all levels.

Relevant certifications such as CBAP (Certified Business Analysis Professional) or PMI-PBA (Professional in Business Analysis) are good to have.

Thanks & Regards

Nayak Teketi

Phone : 901-317-3453

Email:nayak@conchtech.com

Web: www.conchtech.com","72 applicants","Contract","Associate","Research, Analyst, and Information Technology","IT Services and IT Consulting"
"Senior Business Analyst","Lansing, MI","2024-06-03","Sky Consulting Inc.","Apply to the role if you live in Michigan with a valid Michigan DL.


 * All candidates should include 3 professional references with their submission (including the reference’s name, position, phone number, and email address).
 * This position is partially remote. The candidate will be required to report to a Lansing, MI office location on a regular basis. The selected candidate will be responsible for any and all costs associated with parking for this position. These costs will not be reimbursed.
   
   

Short Description: This project resource will work with our Direct client to review, analyze, and evaluate business processes around the implementation of a new enterprise-level software solution that will replace numerous aging legacy systems. Special emphasis will be placed on integration/interface processes and data migration.

Complete Description: This project resource will work with our Direct client to review, analyze, and evaluate functional requirements and business user needs around the implementation of a new enterprise-level software solution that will replace numerous aging legacy systems.

A special emphasis will be placed on testing the software solution prior to implementation and working with the project’s quality assurance team to prepare for and complete large-scale testing efforts. Demonstrable testing skills will be a highly desired skill set. This resource must be experienced in coordinating, designing, and implementing test plans in conjunction with a third-party software vendor and agency staff.

Special consideration will be given to candidates with integration/interface development experience and/or those with data migration experience.

Candidates with experience in gathering business requirements and functional requirements within client agencies and transforming those requirements into clear and precise language are highly valued. This resource will also be expected to support subject matter experts and other project team members by drafting design documents, being accountable for assuring that documents are filed on time, and that project vendors are provided accurate feedback on a range of deliverables.

This resource must be experienced in coordinating and communicating the efforts of multiple groups of technical and business groups (e.g. enterprise architecture analysts, database administrators, data scientists, business analysts, ETL developers, business subject matter experts, quality assurance and testing resources, and end users) in conjunction with a third-party software vendor. This project resource may also be responsible for developing and maintaining a system capable of tracking all assigned tasks.

This position has a high probability of being extended past the end date listed.

Years of Experience: Fifteen (15) or more years of experience in the field.

Additional Responsibilities


 * Reviews, analyzes, and evaluates business systems and user needs
 * Facilitates user meetings for eliciting business process requirements and functional requirements
 * Prepares detailed descriptions of user needs, business functions, and the steps required to develop or modify automated systems to mirror business practices
 * Prepares State of Michigan project templates in accordance with proper procedures
 * Is adept at proofing documents for errors in business and technical descriptions and overall grammar and spelling
 * Assists in the deployment and management of user reporting tools and platforms
 * Documents and provides knowledge transfer
 * Has knowledge of commonly used concepts, practices, and procedures within the enterprise-level software field
 * Relies on experience and judgment to plan and accomplish goals, independently performs a variety of complicated tasks, and a wide degree of creativity and latitude is expected
 * Is a team player and willing to take on tasks that may not be “in my swim lane” in order to move the project forward
 * Demonstrable leadership and communication skills will be a highly desired skill set
   
   

Required / Desired Skills Table

Skill

Required / Desired

Minimum Amount

Of Experience

Expert verbal and written communication with clients and technical staff in English along with ability to proof documents in English

Required

15

Years

Expert skill in developing business and functional requirements and transforming those requirements into clear and precise language

Desired

10

Years

Experience in testing and evaluating software in a test environment, analyzing software functionality against design documents, and efficiently utilizing a testing suite such as Azure Dev. Ops.

Desired

10

Years

Documented experience in leading in-person requirements gathering sessions for systems implementations

Desired

10

Years

Proven experience in creating system documentation, user manuals, and/or operation documentation

Desired

10

Years

Experience in coordinating and leading multiple technical and business teams with data cleaning and data migration efforts within the context of a large software implementation project

Desired

8

Years

Experience in identifying data cleaning and data migration risks and assisting in the resolution of project issues

Desired

8

Years

Experience documenting data cleaning and data migration plans, and explaining such plans to technical teams, business teams, and vendors

Desired

8

Years

Experience drafting requirement traceability matrices and test plans for requirements validation.

Desired

8

Years

Experience using enterprise testing, data cleaning, and data migration tools.

Desired

8

Years

Experience working within projects involving vendor owned, designed, and hosted solutions

Desired

5

Years

Experience with State of Michigan SUITE methodology and related documentation.

Desired

5

Years

Experience working directly for a corrections department or other law enforcement agency as a business analyst focused on large-scale enterprise IT systems

Desired

5

Years

Bachelor’s degree

Desired

--

--","42 applicants","Contract","Associate","Research, Analyst, and Information Technology","Staffing and Recruiting"
"Business Management Analyst","California, United States","2024-09-05","ConglomerateIT","About Our Company

ConglomerateIT is a certified and a pioneer in providing premium end-to-end Global Workforce Solutions and IT Services to diverse clients across various domains. Visit us at ConglomerateIT. ConglomerateIT mission is to establish global cross culture human connections that further the careers of our employees and strengthen the businesses of our clients. We are driven to use the power of global network to connect business with the right people without bias. We provide Global Workforce Solutions with affability.




About the Role

Business Management Analyst

 * Duration: 12 months
 * Job Type: Remote
 * Experience: 7+ years required
 * Tax Terms: W2/1099




Responsibilities

 * Lead the design, development, and support of IT applications.
 * Plan, install, configure, test, and implement systems to align with organizational IT architecture and business needs.
 * Analyze and refine system requirements, translating them into prototypes and system architectures.
 * Write, maintain, and test code to ensure high-quality and secure software.
 * Design user interfaces and test applications with end-users.
 * Evaluate new technologies and ensure adherence to information security policies.




Qualifications

Required Skills

 * Strong knowledge of application software development, including design, testing, and implementation.
 * Experience with operating system installation and configuration.
 * Solid understanding of software design principles, database management, and systems engineering.
 * Ability to foster collaborative working relationships and communicate effectively.



Preferred Skills

 * Experience with Technology Business Management (TBM), Cloudability, FinOps, Cloud Cost Management, and Advanced Excel.



Required Experience

 * At least seven (7) years of experience in studying, designing, and programming electronic data processing systems.
 * Minimum of four (4) years in a leadership role.



Preferred Experience

 * Three (3) years of experience in IT billing, financial forecasting, and cloud cost management.
 * At least one (1) year of experience with Apptio Cost Transparency, IT Planning, and Cloudability or similar tools.




Required Education

 * Bachelor’s degree in an IT-related or engineering field. Additional relevant experience may be substituted for required education on a year-for-year basis.



Preferred Education

 * Current certification as a Technology Business Management Analyst (TMBA) or FinOps Certified Practitioner.","Over 200 applicants","Contract","Mid-Senior level","Information Technology and Management","IT Services and IT Consulting"
"Senior Business Analyst","Charlotte, NC","2024-08-20","Finzly","About Finzly:

Finzly is headquartered in Charlotte, NC, and was founded in 2012 by financial engineers whose mission is to create a modern, real-time, and responsive platform for bankers who need to break free from core limitations. Our initial success and wider adoption arrived after the introduction of our foreign exchange, trade finance, lending, digital banking, and branch banking solutions. Finzly is on a mission to free banks from their core banking systems and core-vendor limitations, by creating an Appstore ecosystem that empowers banks to launch new products and services instantly and easily. Finzly enables financial institutions to make smarter technology decisions while getting to market at fintech speed.




Recently, Finzly has won the “Best and Brightest Companies to Work For” of 2022 & 2023, Greatest Companies to Work for in NC 2024, and the “Best Parallel Core Technology” award at the NACHA Smarter Faster Payments Conference in 2023.




About the Role:

Finzly is on an exciting growth trajectory and is seeking a dynamic and enthusiastic individual to join our Professional Services team as a Senior Business Analyst. This role offers a unique opportunity to be a key customer-facing representative for our innovative payment products. We are looking for a well-organized professional who can prioritize and manage multiple responsibilities, including overseeing the implementation scope and serving as an ambassador for Finzly.




Why Join Finzly?

At Finzly, we are at the forefront of innovation in the financial technology space. Joining our team means being part of a forward-thinking company that values growth, learning, and career development. As a Senior Business Analyst, you will have the opportunity to work on cutting-edge projects, collaborate with industry experts, and make a significant impact on our clients’ success. Your future with Finzly is bright, with ample opportunities for professional growth and advancement.




Primary Job Responsibilities:

 * Product Expertise: Become a knowledge center and product expert for Finzly’s Payment Hub.
 * Documentation: Document product requirements, interface requirements, and system gaps, and create comprehensive delivery plans for customers.
 * Collaboration: Work closely with sales, product managers, and professional services teams to deliver tailored solutions.
 * Training & Demonstrations: Lead product training sessions and demonstrations for clients.
 * Innovation: Propose innovative solutions, establish customer delivery development priorities, and identify potential roadblocks.
 * Customer Success: Understand the success metrics for banks and credit unions, ensuring client satisfaction.
 * Travel: Occasionally travel to conferences and customer sites to represent Finzly.




Required Experience:

 * Payments Expertise: 5+ years of experience in ACH, FedWire, or RTP file formats and reconciliation.
 * Customer Experience: Proven track record of delivering payment products that enhance customer experience.
 * Core Banking Systems: Knowledge of core banking systems.
 * API & Data Services: Understanding of data services and API-based product offerings.
 * Project Management Knowledge: Understanding of project management principles and methodologies, with the ability to manage multiple projects simultaneously.
 * Technical Skills: Experience creating flow charts, swim-lane diagrams and proficiency in JIRA, Microsoft Suite (Word, Excel, PowerPoint, Visio), .




Nice to have experience:

 * Solution Delivery: 2+ years of experience in providing solutions in ACH, FedWire, RTP or FX payments.
 * Accounting Knowledge: Experience with accounting for payments.
 * SQL & Scripting: Beneficial experience in SQL and scripting.




Preferred Skills and Qualifications:

 * Educational Background: Bachelor’s degree in Finance, Business, or equivalent.
 * Certifications: AAP/APRP payment certification.
 * Critical Thinking: Strong critical thinking and decision-making skills.
 * Leadership: Exceptional leadership, planning, priority management, conflict management, and organizational skills.
 * Team Collaboration: Experience working with remote, geographically distributed, and cross-functional teams.
 * Communication: Excellent communication and written skills to effectively interact and influence various levels of the organization.




What We Offer:

 * Full Benefits Package - medical, dental, and vision coverage with HSA option
 * Healthcare FSA and Dependent Care FSA
 * Company-paid Life Insurance
 * Company-paid Long-Term Disability
 * Paid Holidays and generous Paid-Time Off
 * Stock Options
 * Retirement Savings Plan
 * Short Term Disability, Critical Illness, and Accident Insurance
 * Wellness Programs including Employee Assistance Program
 * Annual Cash Bonus and more!","Over 200 applicants","Full-time","Mid-Senior level","Research, Analyst, and Information Technology","Financial Services, Banking, and Software Development"
"Business Analyst","United States","2024-04-04","","Role: Business Analyst

Must have  5+ years of SNAP, TANF or other economic assistance program expertise.

The North Dakota Department of Human Services, Economic Assistance Division is seeking a Senior Business Analyst (BA) to assist the business team with software development changes to enhance eligibility and benefits applications managed through Economic Assistance. The BA must be well versed in program management, requirements gathering, process diagramming, operational concepts, usability, and testing.

Top Skills & Years Of Experience


 *      7+ years of experience in leading requirements capture, management and analysis activities, including conducting user interviews, leading, and facilitating JAD sessions, and developing business
   
   

process models and formal specifications.


 *      Business Analysis Process (SDLC, documentation procedures) experience.
 *      Excellent impact analysis and prioritization skills within program and development teams
 *      Excellent analytical skills, the ability to integrate information from multiple sources to execute effectively and efficiently in a dynamic environment.
 *      Outstanding verbal and written communication skills at all levels of the organization
 *      Ability to work independently with minimal supervision, be a team player, and be well organized and efficient with excellent judgment, problem-solving and decision-making skills.
 *      Bachelor’s degree or master’s Degree.
   
   

Preferred


 *      8+ years of experience working on large scale, complex projects.
 *      5+ years of SNAP, TANF or other economic assistance program expertise.
 *      Web portal development and implementation experience
 *      Experience with UI/UX design.
 *      Excellent customer relation skills including presentation and meeting facilitation.
 *      High-level of technical expertise data transfer, data integration and data integrity","Over 200 applicants","Contract","Associate","Research, Analyst, and Information Technology","Staffing and Recruiting"
"Business Analyst","United States","2024-09-05","KTek Resourcing","""""""""""Full Time Only""""""""""










Must-Have Qualifications:




Experience: 6-8 years of experience as a Business Analyst and Data Analyst, with significant exposure to credit card systems and data management.




Technical Skills: Proficiency in data analysis tools and techniques (e.g., SQL, Excel, data visualization tools) and experience with data integration and canonicalization processes.




Credit Card Systems Knowledge: In-depth understanding of credit card data structures, transaction processing, and industry standards (e.g., EMV, PCI-DSS).




Project Management: Proven ability to manage and support complex projects, including requirement gathering, documentation, and implementation.




Analytical Skills: Strong analytical skills with the ability to interpret and leverage data for decision-making and process improvement.




Communication Skills: Excellent verbal and written communication skills, with the ability to effectively interact with stakeholders at all levels.




Problem-Solving: Demonstrated ability to address and resolve complex issues related to data and system processes.



Good-to-Have Qualifications:




Technical Proficiency: Experience with modern data management platforms and tools (e.g., ETL tools, data warehouses).




Industry Knowledge: Familiarity with current trends and emerging technologies in financial services and card processing.




Agile Methodology: Experience with Agile project management methodologies and tools (e.g., JIRA, Confluence).




Data Governance: Knowledge of data governance frameworks and best practices.","Over 200 applicants","Full-time","Mid-Senior level","Information Technology","Staffing and Recruiting"
"Senior Business Analyst","Juno Beach, FL","2024-07-12","Steneral Consulting","Juno Beach, FL - Onsite - Local or Non Local who can relocate immediately

Need Complete DOB and SSN Last 4 Digit

Must have valid LinkedIn

Must have 10/10 Communications

Client is seeking a Senior Business Analyst to join the Tax team located in Juno Beach, Florida.

Description

Position Background

We are seeking a Technology Professional to join the Tax Strategic Initiatives & Technology team. This professional will have several key responsibilities including: (1) providing the administration and configuration of key software applications for the tax department; (2) assisting business unit customers with support, analysis, and troubleshooting related to the efficient operation of the tax software products, and (3) supporting system upgrade exercises and testing for tax systems, supporting ongoing tax software project initiatives and establishing and maintaining relationships with key internal & external customers. This position will help ensure that NextEra Energy, Inc. remains “Best in Class” with regards to the quality and efficiency of our tax processes.

Job Description

Working under the supervision of the Director of Tax Technology, this position will be responsible for supporting the Tax department with their technology needs. The successful candidate will work closely with multiple business units within the organization in order to ensure a full understanding of the entire Tax department’s needs. The candidate will also be consulting with multiple stakeholders- tax professionals, IT teams and software vendors. In addition, the candidate will assist the Tax Department personnel with day-to-day operation of tax technology platforms.


 * Extended Hours may be necessary
   
   

Qualifications


 * Bachelor's degree in accounting or information management is preferred with a CPA or advanced degree a plus
 * Tax and ERP software such as OneSource Tax Provision, OneSource State Apportionment, Corptax and SAP
 * Microsoft Suite including Excel, Access, SharePoint, PowerPoint, and Word
 * Experience in corporate tax compliance and/or tax accounting
 * Project management or Six Sigma skills to facilitate excellent execution in tax projects is a plus
 * Excellent verbal, written, communication, decision making, analytical, and critical thinking skills
 * Aptitude to learn technologies being introduced or developed within the company including software products such as Alteryx and SAP Business Objects
   
   

Job Overview


 * Support cross functional tax automation and analytics projects
 * Work with business stakeholders, IT solution architects, and developers on tax technology projects
 * Manage multiple tax technology implementation projects using Waterfall or Agile methodology
 * Prepare documentation for project end to end lifecycle
 * Act as product owner for complex and cross functional implementation projects
 * Learn Alteryx Designer and develop process automation workflows to reduce process cycle time
   
   

Job Duties & Responsibilities


 * Liaising between the IT department and the Tax business partners
 * Acting as an information source and communicator between IT workstreams
 * Creating process flow diagrams and data flow diagrams
 * Understanding strategic business needs and plans for growth
 * Analyzing the design of technical systems and business models
 * Analyzing business needs
 * Sourcing and implementing new business technology
 * Finding technological solutions to meet business requirements
 * Producing reports on application development and implementation
 * Running systems/user acceptance testing and analyzing data
 * Analyzing data to inform business decisions
   
   

Required Qualifications


 * High School Grad / GED
 * Bachelor's - Accounting / Finance
 * Experience: 3+ years
   
   

Preferred Qualifications


 * Master's - Accounting / Finance
 * Tax Compliance
 * Tax Research","49 applicants","Contract","Associate","Research, Analyst, and Information Technology","Software Development"
